"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test with steps","This will create a new store","SUCCESS","2023-01-03T21:10:39.335Z[Europe/London]","0.0","5.69"
"Stores CRUD test with steps","This will verify that store was added","SUCCESS","2023-01-03T21:10:45.143Z[Europe/London]","0.0","0.09"
"Stores CRUD test with steps","This test will Update the services information","SUCCESS","2023-01-03T21:10:45.237Z[Europe/London]","0.0","0.13"
"Stores CRUD test with steps","This test will Delete the stores by ID","SUCCESS","2023-01-03T21:10:45.365Z[Europe/London]","0.0","0.12"
