"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test with steps","This will create a new store","SUCCESS","2023-01-03T21:10:39.335Z[Europe/London]","0.0","5.69"
"Products CRUD test with steps","This will create new product","SUCCESS","2023-01-03T21:10:39.336Z[Europe/London]","0.0","5.25"
"Products CRUD test with steps","Verify Product was added","SUCCESS","2023-01-03T21:10:44.626Z[Europe/London]","0.0","0.17"
"Products CRUD test with steps","Verify Product was Updated","SUCCESS","2023-01-03T21:10:44.794Z[Europe/London]","0.0","0.23"
"Products CRUD test with steps","Verify product was deleted","SUCCESS","2023-01-03T21:10:45.026Z[Europe/London]","0.0","0.1"
"Stores CRUD test with steps","This will verify that store was added","SUCCESS","2023-01-03T21:10:45.143Z[Europe/London]","0.0","0.09"
"Stores CRUD test with steps","This test will Update the services information","SUCCESS","2023-01-03T21:10:45.237Z[Europe/London]","0.0","0.13"
"Stores CRUD test with steps","This test will Delete the stores by ID","SUCCESS","2023-01-03T21:10:45.365Z[Europe/London]","0.0","0.12"
